ASIMETRIA1,BORDE1,DIAMETRO1,C_COLOR,P_WHITE,P_RED,P_LIGHT_BROWN,P_DARK_BROWN,P_GRAY_BLUE,P_BLACK,ASIMETRIA2A,ASIMETRIA2B,BORDE2,DIAMETRO2,2DO_MOMENT_ANGULAR,CONTRASTE,CORRELACION,SUM_CUAD,MOMENT_DIF_INV,SUM_PROM,SUM_VAR,SUM_ENTROP,ENTROPIA,DIF_VAR,DIF_ENTROP,MEDIDA_CORRELACION,INF_CORRELACION,TARGET
125.9419572,0.341870217,15.03329638,3,0,77.84643436,13.23271205,4.714343598,0,0,0.219730882,0.216273292,0.773157032,5.742472749,0.201456598,101.8990929,0.985410316,3492.22112,0.574659672,122.626976,13866.98539,5.252454902,7.156925344,0.001365103,2.761672666,-0.477347412,0.994282834,2
53.67446707,0.151996826,567.8952368,3,0,82.05288081,16.92871146,1.100981334,0,0,0.161429593,0.101777287,0.781218655,6.296349076,0.114159724,108.4974638,0.983437224,3275.70362,0.545744411,148.3855084,12994.31702,5.994607165,7.958909354,0.001260312,2.709418535,-0.506580428,0.997654693,2
26.00670455,0.078385229,511.7079245,2,0,99.44044823,0.147250466,0,0,0,0.162619776,0.180203907,0.760186097,5.49967973,0.243987642,103.8941377,0.989501971,4948.259643,0.665218698,140.0510494,19689.14443,4.51027055,5.934089521,0.001799224,2.254580787,-0.507810938,0.990941545,2
12.15427843,0.077271297,218.9794511,3,0,0.628908965,16.40027797,64.88881167,0,0,0.073460873,0.066588998,0.848453709,2.531606108,0.796040812,47.87048865,0.974906355,953.6773555,0.914972307,20.28784414,3766.838933,1.319129272,1.694691759,0.004181795,0.831436307,-0.597223384,0.873834854,2
36.3487788,0.136053187,538.3539728,3,0.000684247,8.120646477,4.252596718,65.40719554,0,0.006842473,0.097109766,0.165370058,0.706926702,5.704849696,0.207100005,296.8933128,0.963878836,4109.584029,0.556972343,119.1915236,16141.4428,5.394831069,7.616835499,0.001067935,3.162039882,-0.431746572,0.992287581,2
17.81161222,0.09188652,315.3299859,2,0,76.80743474,1.446972803,0,0,0,0.178140216,0.18654396,0.806214585,3.610457699,0.610430192,71.68887122,0.985994282,2558.92716,0.850005986,52.09977909,10164.01977,2.377822096,2.987745098,0.003510998,1.247934719,-0.609266168,0.962655097,2
8.583129904,0.102567633,115.5205609,3,0,5.276312136,39.50291586,2.22160511,0,0,0.294285356,0.287315615,0.847235918,1.266418653,0.946340825,26.95357795,0.971669318,475.6200919,0.978241471,7.10379471,1875.52679,0.385410081,0.47767613,0.004524331,0.268518235,-0.643888437,0.603799072,2
20.64940943,0.072884593,443.1026969,3,0,27.63755366,27.26418106,15.15573451,0,0,0.157282531,0.168874871,0.745321526,5.010955783,0.33570864,143.8035516,0.984070205,4513.399571,0.715109202,106.5260232,17909.79473,4.390248304,5.577844593,0.00207058,2.004283853,-0.592140476,0.995327367,2
29.1852562,0.235405339,314.0859755,2,0,0,10.59446177,34.66354787,0,0.03780361,0.493060443,0.533004775,0.632368601,3.070040416,0.70820524,61.82281596,0.984135026,1948.097362,0.878288074,36.42388617,7730.566631,1.864897335,2.395517603,0.004237738,1.112133593,-0.585466457,0.928489193,1
32.39626736,0.130910201,504.4531693,3,0,64.57599819,22.62017499,5.02310824,0,0,0.281616994,0.283884063,0.760248425,5.245300302,0.290769424,127.9965817,0.984380412,4097.120568,0.636426019,110.2317245,16260.48569,4.639295153,6.263587483,0.001703148,2.508831172,-0.499335326,0.992144197,2
